link,runs,runs_allowed,wins,year
http://www.baseball-reference.com/teams/NYY/1989.shtml,698,792,74,1989
http://www.baseball-reference.com/teams/NYY/1988.shtml,772,748,85,1988
http://www.baseball-reference.com/teams/NYY/1987.shtml,788,758,89,1987
http://www.baseball-reference.com/teams/NYY/1986.shtml,797,738,90,1986
http://www.baseball-reference.com/teams/NYY/1985.shtml,839,660,97,1985
http://www.baseball-reference.com/teams/NYY/1984.shtml,758,679,87,1984
http://www.baseball-reference.com/teams/NYY/1983.shtml,770,703,91,1983
http://www.baseball-reference.com/teams/NYY/1982.shtml,709,716,79,1982
http://www.baseball-reference.com/teams/NYY/1981.shtml,421,343,59,1981
http://www.baseball-reference.com/teams/NYY/1980.shtml,820,662,103,1980
http://www.baseball-reference.com/teams/NYY/1979.shtml,734,672,89,1979
http://www.baseball-reference.com/teams/NYY/1978.shtml,735,582,100,1978
http://www.baseball-reference.com/teams/NYY/1977.shtml,831,651,100,1977
http://www.baseball-reference.com/teams/NYY/1976.shtml,730,575,97,1976
http://www.baseball-reference.com/teams/NYY/1975.shtml,681,588,83,1975
http://www.baseball-reference.com/teams/NYY/1974.shtml,671,623,89,1974
http://www.baseball-reference.com/teams/NYY/1973.shtml,641,610,80,1973
http://www.baseball-reference.com/teams/NYY/1972.shtml,557,527,79,1972
http://www.baseball-reference.com/teams/NYY/1971.shtml,648,641,82,1971
http://www.baseball-reference.com/teams/NYY/1970.shtml,680,612,93,1970
http://www.baseball-reference.com/teams/NYY/1969.shtml,562,587,80,1969
http://www.baseball-reference.com/teams/NYY/1968.shtml,536,531,83,1968
http://www.baseball-reference.com/teams/NYY/1967.shtml,522,621,72,1967
http://www.baseball-reference.com/teams/NYY/1966.shtml,611,612,70,1966
http://www.baseball-reference.com/teams/NYY/1965.shtml,611,604,77,1965
http://www.baseball-reference.com/teams/NYY/1964.shtml,730,577,99,1964
http://www.baseball-reference.com/teams/NYY/1963.shtml,714,547,104,1963
http://www.baseball-reference.com/teams/NYY/1962.shtml,817,680,96,1962
http://www.baseball-reference.com/teams/NYY/1961.shtml,827,612,109,1961
http://www.baseball-reference.com/teams/NYY/1960.shtml,746,627,97,1960
http://www.baseball-reference.com/teams/NYY/1959.shtml,687,647,79,1959
http://www.baseball-reference.com/teams/NYY/1958.shtml,759,577,92,1958
http://www.baseball-reference.com/teams/NYY/1957.shtml,723,534,98,1957
http://www.baseball-reference.com/teams/NYY/1956.shtml,857,631,97,1956
http://www.baseball-reference.com/teams/NYY/1955.shtml,762,569,96,1955
http://www.baseball-reference.com/teams/NYY/1954.shtml,805,563,103,1954
http://www.baseball-reference.com/teams/NYY/1953.shtml,801,547,99,1953
http://www.baseball-reference.com/teams/NYY/1952.shtml,727,557,95,1952
http://www.baseball-reference.com/teams/NYY/1951.shtml,798,621,98,1951
http://www.baseball-reference.com/teams/NYY/1950.shtml,914,691,98,1950
http://www.baseball-reference.com/teams/NYY/1949.shtml,829,637,97,1949
http://www.baseball-reference.com/teams/NYY/1948.shtml,857,633,94,1948
http://www.baseball-reference.com/teams/NYY/1947.shtml,794,568,97,1947
http://www.baseball-reference.com/teams/NYY/1946.shtml,684,547,87,1946
http://www.baseball-reference.com/teams/NYY/1945.shtml,676,606,81,1945
http://www.baseball-reference.com/teams/NYY/1944.shtml,674,617,83,1944
http://www.baseball-reference.com/teams/NYY/1943.shtml,669,542,98,1943
http://www.baseball-reference.com/teams/NYY/1942.shtml,801,507,103,1942
http://www.baseball-reference.com/teams/NYY/1941.shtml,830,631,101,1941
http://www.baseball-reference.com/teams/NYY/1940.shtml,817,671,88,1940
http://www.baseball-reference.com/teams/NYY/1939.shtml,967,556,106,1939
http://www.baseball-reference.com/teams/NYY/1938.shtml,966,710,99,1938
http://www.baseball-reference.com/teams/NYY/1937.shtml,979,671,102,1937
http://www.baseball-reference.com/teams/NYY/1936.shtml,1065,731,102,1936
http://www.baseball-reference.com/teams/NYY/1935.shtml,818,632,89,1935
http://www.baseball-reference.com/teams/NYY/1934.shtml,842,669,94,1934
http://www.baseball-reference.com/teams/NYY/1933.shtml,927,768,91,1933
http://www.baseball-reference.com/teams/NYY/1932.shtml,1002,724,107,1932
http://www.baseball-reference.com/teams/NYY/1931.shtml,1067,760,94,1931
http://www.baseball-reference.com/teams/NYY/1930.shtml,1062,898,86,1930
http://www.baseball-reference.com/teams/NYY/1929.shtml,899,775,88,1929
http://www.baseball-reference.com/teams/NYY/1928.shtml,894,685,101,1928
http://www.baseball-reference.com/teams/NYY/1927.shtml,975,599,110,1927
http://www.baseball-reference.com/teams/NYY/1926.shtml,847,713,91,1926
http://www.baseball-reference.com/teams/NYY/1925.shtml,706,774,69,1925
http://www.baseball-reference.com/teams/NYY/1924.shtml,798,667,89,1924
http://www.baseball-reference.com/teams/NYY/1923.shtml,823,622,98,1923
http://www.baseball-reference.com/teams/NYY/1922.shtml,758,618,94,1922
http://www.baseball-reference.com/teams/NYY/1921.shtml,948,708,98,1921
http://www.baseball-reference.com/teams/NYY/1920.shtml,838,629,95,1920
http://www.baseball-reference.com/teams/NYY/1919.shtml,578,506,80,1919
http://www.baseball-reference.com/teams/NYY/1918.shtml,493,475,60,1918
http://www.baseball-reference.com/teams/NYY/1917.shtml,524,558,71,1917
http://www.baseball-reference.com/teams/NYY/1916.shtml,577,561,80,1916
http://www.baseball-reference.com/teams/NYY/1915.shtml,584,588,69,1915
http://www.baseball-reference.com/teams/NYY/1914.shtml,537,550,70,1914
http://www.baseball-reference.com/teams/NYY/1913.shtml,529,668,57,1913
http://www.baseball-reference.com/teams/NYY/1912.shtml,630,842,50,1912
http://www.baseball-reference.com/teams/NYY/1911.shtml,684,723,76,1911
http://www.baseball-reference.com/teams/NYY/1910.shtml,626,557,88,1910
http://www.baseball-reference.com/teams/NYY/1909.shtml,589,587,74,1909
http://www.baseball-reference.com/teams/NYY/1908.shtml,460,713,51,1908
http://www.baseball-reference.com/teams/NYY/1907.shtml,605,667,70,1907
http://www.baseball-reference.com/teams/NYY/1906.shtml,640,543,90,1906
http://www.baseball-reference.com/teams/NYY/1905.shtml,586,621,71,1905
http://www.baseball-reference.com/teams/NYY/1904.shtml,598,526,92,1904
http://www.baseball-reference.com/teams/NYY/1903.shtml,579,573,72,1903
